"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Method for Audiogram Digitization in Audiological Reports","T. -W. Yang; C. -Y. Yang; Y. -H. Lee; P. -Y. Chen; P. -H. Lin; W. -C. Wu; C. -C. Wu; C. -F. Chou","Graduate Institute of Networking and Multimedia, National Taiwan University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Department of Otolaryngology, National Taiwan University Hospital Hsin-Chu Branch, Hsinchu, Taiwan; Department of Otolaryngology, National Taiwan University Hospital, Taipei, Taiwan; Department of Otolaryngology, National Taiwan University Hospital, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Department of Otolaryngology, National Taiwan University Hospital, Taipei, Taiwan; Graduate Institute of Networking and Multimedia, National Taiwan University, Taipei, Taiwan","IEEE Access","18 Mar 2024","2024","12","","37862","37872","An audiogram records the hearing status, including each hearing threshold at multiple frequencies. While deep learning is gradually maturing in the clinical research approach, audiologists could speed up their diagnostic process with audiogram digitization for handwritten graphs or electronically generated images from instruments. However, given the diversity of audiogram symbols and formats, the existing audiogram digitization model has room for improvement in recognition accuracy. We propose a multi-stage workflow to enhance accuracy by integrating YOLOv5 and the optical character recognition (OCR) model. Our proposed audiogram digitization model could identify all audiogram symbols with an accuracy rate of 98%. We hope that this model could help future research in audiology.","2169-3536","","10.1109/ACCESS.2024.3375362","Ministry of Science and Technology of Taiwan(grant numbers:111-2314-B303-016); National Science and Technology Council(grant numbers:112-2221-E-002-118,112-2314-B-303-001,111-2622-8-002-028); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10464288","Audiogram;chart recognition;digitization","Symbols;Auditory system;Ear;Optical character recognition;Medical diagnostic imaging;Hospitals;Data mining;Electronic healthcare","","","","16","CCBYNCND","11 Mar 2024","","","IEEE","IEEE Journals"
"Mining Audiograms to Improve the Interpretability of Automated Audiometry Measurements","F. Charih; M. Bromwich; R. Lefrançois; A. E. Mark; J. R. Green","Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Children’s Hospital of Eastern Ontario Faculty of Medicine, University of Ottawa Clearwater Clinical Limited, Ottawa, ON, Canada; Clearwater Clinical Limited, Ottawa, ON, Canada; Clearwater Clinical Limited., Children’s Hospital of Eastern Ontario Research Institute, Ottawa, ON, Canada; Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada","2018 IEEE International Symposium on Medical Measurements and Applications (MeMeA)","19 Aug 2018","2018","","","1","6","Many people with hearing loss are unaware of it and do not seek benefit from available interventions such as hearing aids. This is in part due to the limited accessibility to qualified hearing healthcare providers in developing and developed countries alike. Automated audiometry, which has gained in popularity amidst the torrent of advances in telemedicine and mobile health, makes it possible to deliver basic hearing tests to remote or otherwise underserved communities at low cost. While this technology makes it possible to perform hearing assessments outside of a sound booth, many individuals administering the test are non-specialists, and thus, have a limited ability to interpret audiometric measurements and to make tailored recommendations. In this paper, we present the first steps towards the development of a flexible, supervised learning approach for the classification of audiograms in terms of their shape, severity and symmetry. More specifically, we outline our approach to building a set of non-redundant, annotation-ready audiograms from a much larger dataset. In addition, we present a Rapid Audiogram Annotation Environment (RAAE) designed specifically for the collection of audiogram annotations from a large community of expert audiologists. Preliminary results indicate that annotations provided through our environment are consistent leading to low intra-coder variability. Data gathered through the RAAE will form the basis of learning algorithms to help non-experts make better decisions from audiometric data.","","978-1-5386-3392-2","10.1109/MeMeA.2018.8438746","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8438746","automated audiometry;telemedicine;mobile health;audiogram mining;audiogram annotation","Auditory system;Ear;Shape;Medical services;Pediatrics;Supervised learning;Standards","","4","","26","IEEE","19 Aug 2018","","","IEEE","IEEE Conferences"
"Inferring Hearing Loss from Learned Speech Kernels","B. Banerjee; M. H. Kapourchali; S. Najnin; L. L. Mendel; S. Lee; C. Patro; M. Pousson","University of Memphis School of Law, Memphis, TN, US; Dept. of Electrical & Computer Eng.; Dept. of Electrical & Computer Eng.; School of Communication Sci. & Disorders, University of Memphis, Memphis, TN, USA; School of Communication Sci. & Disorders, University of Memphis, Memphis, TN, USA; School of Communication Sci. & Disorders, University of Memphis, Memphis, TN, USA; School of Communication Sci. & Disorders, University of Memphis, Memphis, TN, USA","2016 15th IEEE International Conference on Machine Learning and Applications (ICMLA)","2 Feb 2017","2016","","","26","31","Does a hearing-impaired individual's speech reflect his hearing loss, and if it does, can the nature of hearing loss be inferred from his speech? To investigate these questions, at least four hours of speech data were recorded from each of 37 adult individuals, both male and female, belonging to four classes: 7 normal, and 30 severely-to-profoundly hearing impaired with high, medium or low speech intelligibility. Acoustic kernels were learned for each individual by capturing the distribution of his speech data points represented as 20 ms duration windows. These kernels were evaluated using a set of neurophysiological metrics, namely, distribution of characteristic frequencies, equal loudness contour, bandwidth and Q10 value of tuning curve. Our experimental results reveal that a hearing-impaired individual's speech does reflect his hearing loss provided his loss of hearing has considerably affected the intelligibility of his speech. For such individuals, the lack of tuning in any frequency range can be inferred from his learned speech kernels.","","978-1-5090-6167-9","10.1109/ICMLA.2016.0014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7838118","Acoustic feature learning;clustering;tuning curve;bandwidth;equal loudness contour;audiogram","Speech;Auditory system;Kernel;Bandwidth;Measurement;Acoustics;Tuning","","","","39","IEEE","2 Feb 2017","","","IEEE","IEEE Conferences"
"DEEP-HEAR: A Multimodal Subtitle Positioning System Dedicated to Deaf and Hearing-Impaired People","R. Tapu; B. Mocanu; T. Zaharia","ARTEMIS Department, Institut Mines-Télécom, Télécom SudParis, Évry, France; ARTEMIS Department, Institut Mines-Télécom, Télécom SudParis, Évry, France; ARTEMIS Department, Institut Mines-Télécom, Télécom SudParis, Évry, France","IEEE Access","15 Jul 2019","2019","7","","88150","88162","In this paper, we introduce the DEEP-HEAR framework, a multimodal dynamic subtitle positioning system designed to increase the accessibility of deaf and hearing impaired people (HIP) to multimedia documents. The proposed system exploits both computer vision algorithms and deep convolutional neural networks specifically designed and tuned in order to detect and recognize the identity of the active speaker. The main contributions of the paper concern: a novel method dedicated to recognizing various characters existent in the video stream. A video temporal segmentation algorithm that divides the video sequence into semantic units, based on face tracks and visual consistency. Finally, the core of our approach concerns a novel active speaker recognition method relying on the multimodal information fusion from the text, audio, and video streams. The experimental results carried out on a large scale dataset of more than 30 videos, validate the proposed methodology with average accuracy and recognition rates superior to 90%. Moreover, the method shows robustness to important object/camera motion and face pose variation, yielding gains of more than 8% in precision and recall rates when compared with state-of-the-art techniques. The subjective evaluation of the proposed dynamic subtitle positioning system demonstrates the effectiveness of our approach.","2169-3536","","10.1109/ACCESS.2019.2925806","French Plan d’Investissement d’Avenir (PIA) SUBTIL Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8751956","Active speaker recognition;face recognition;dynamic subtitle positioning;convolutional neural networks;assistive framework for deaf and hearing impaired people","Auditory system;Streaming media;Face;Visualization;Speaker recognition;Face recognition;Cameras","","5","","30","CCBY","1 Jul 2019","","","IEEE","IEEE Journals"
"Automatic Subtitle Synchronization and Positioning System Dedicated to Deaf and Hearing Impaired People","B. Mocanu; R. Tapu","Telecommunication Department, Faculty of ETTI, University Politehnica of Bucharest, Bucharest, Romania; Telecommunication Department, Faculty of ETTI, University Politehnica of Bucharest, Bucharest, Romania","IEEE Access","19 Oct 2021","2021","9","","139544","139555","In this paper, we introduce a subtitle synchronization and positioning system designed to increase the accessibility of deaf and hearing impaired people to multimedia documents. The main contributions of the paper concern: a novel synchronization algorithm able to robustly align, without any human intervention, the closed caption with the audio transcript and a timestamp refinement technique that adjusts the subtitle segments duration with respect to the audiovisual recommendations. Finally, we introduce a novel method that performs a high level understanding of the multimedia content, in order to determine the subtitle optimal positions, within the video frame, such that they do not overlap with other relevant textual information. The experimental evaluation performed on a large dataset of 30 videos taken from the French national television validates the approach with average accuracy scores superior to 90% regardless on the video genre. The subjective evaluation of the proposed subtitle synchronization and positioning system, performed with actual hearing impaired people, demonstrates the effectiveness of our approach.","2169-3536","","10.1109/ACCESS.2021.3119201","Romanian Ministry of Education and Research, CNCS - UEFISCDI(grant numbers:PN-III-P1-1.1-TE-2019-0420,PNCDI III); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9565923","Subtitle/closed caption synchronization;audiovisual recommendations;anchor words;tokens;subtitle positioning","Synchronization;Speech recognition;TV;Closed captioning;Hidden Markov models;Auditory system;Training","","","","31","CCBY","8 Oct 2021","","","IEEE","IEEE Journals"
"Sign Language Translation Techniques Using Artificial Intelligence for the Hearing Impaired Community in Sri Lanka: A Review","M. Priyankara; A. Gunasekara; K. Ilmini","Faculty of Computing, General Sir John Kotelawala Defence University, Ratmalana, Sri Lanka; Faculty of Computing, General Sir John Kotelawala Defence University, Ratmalana, Sri Lanka; Faculty of Computing, General Sir John Kotelawala Defence University, Ratmalana, Sri Lanka","2023 7th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI)","25 Dec 2023","2023","","","1","6","Hearing Impaired individuals routinely encounter limitations in their involvement in social interactions, access to intriguing information, and participation in everyday activities, among various other aspects. However, the hardest part of their interactions with regular people is communication, because sign language is the primary language of those who are hearing impaired. However, the general public is unaware of sign language. Each country has its own sign language. However, there are some striking similarities between them. In Sri Lanka, hearing impaired people use Sri Lankan Sign Language (SLSL) as their communication language. There is several research done on Sign Language recognition and translation. But no fully functioning system is utilized for Sri Lankan Sign Language translation. To find the gap in this area, we conducted a systematic literature review using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) method that analyses 12 studies on Sign Language Translation (SLT). As per the literature review, Image Processing (IP) and Convolutional Neural Networks (CNN) are the most used techniques for Sign Language translation. But these methods have limitations: not enough data, differences in how people use sign language, difficulty in translating in real-time, not capturing cultural aspects, needing specific equipment, and understanding the context of conversations. Recognizing and solving these problems is important, especially for languages like SLSL. Future research should focus on getting more data, making translation work for different cultures, and improving real-time translation. This will help hearing impaired people communicate better with others.","","979-8-3503-1926-2","10.1109/SLAAI-ICAI59257.2023.10365012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10365012","Sign Language Translation;Sri Lankan Sign Language;Hidden Markov Model;Image Processing;Machine Learning;Convolutional Neural Network;Support Vector Machine","Surveys;Image segmentation;Systematics;Motion segmentation;Gesture recognition;Auditory system;Assistive technologies","","","","42","IEEE","25 Dec 2023","","","IEEE","IEEE Conferences"
"AudioGene: Computer-based prediction of genetic factors involved in non-syndromic hearing impairment","K. R. Taylor; A. P. DeLuca; C. W. Goodman; B. W. Tompkins; T. E. Scheetz; M. S. Hildebrand; P. L. M. Huygen; R. J. H. Smith; T. A. Braun; T. L. Casavant","Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA; Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA; Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA; Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA; Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA; Department of Otolaryngology, Head and Neck Surgery, University of Iowa, Iowa City, IA, USA; Department of Otorhinolaryngology, University Hospital, Nijmegen, The Netherlands; Department of Otolaryngology, Head and Neck Surgery, University of Iowa, Iowa City, IA, USA; Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA; Center for Bioinformatics and Computational Biology, University of Iowa, Iowa City, IA, USA","2011 9th IEEE/ACS International Conference on Computer Systems and Applications (AICCSA)","12 Jan 2012","2011","","","75","79","AudioGene is a software system developed at the University of Iowa to classify and predict gene mutations that indicate causal or increased risk factors of disease. We focus on a concise example — the most likely genetic causes of a particular form of inherited hearing loss — ADNSHL. Whereas the cost and throughput involved in the collection of genomic data have advanced dramatically during the past decade, gathering and interpreting clinical information regarding disease diagnosis remains slow, costly and error-prone. AudioGene employs machine-learning techniques in an iterative procedure to prioritize probable genetic risk factors of disease, which are then verified with a molecular (wet lab) assay. In our current implementation AudioGene achieves 67% first-choice accuracy (versus 23% using a majority classifier). When the top three choices are considered, accuracy increases to 83%. This has numerous implications for reducing the cost of genetic screening as well as increasing the power of novel gene discovery efforts. While AudioGene is focused on hearing loss, the design and underlying mechanisms are generalizable to many other diseases including heart disease, cancer and mental illness.","2161-5330","978-1-4577-0476-5","10.1109/AICCSA.2011.6126605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6126605","","Auditory system;Genetics;Accuracy;Training;Support vector machines;Diseases;Educational institutions","","1","","5","IEEE","12 Jan 2012","","","IEEE","IEEE Conferences"
"Deaf Helper Mobile Application for Interaction of Hearing Disorders Communities","A. Setyawan; G. X. Naphan; K. Dynata; J. E. Friry; H. L. H. S. Warnars","Information Systems Department, School of Information System, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, School of Information System, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, School of Information System, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, School of Information System, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, BINUS Graduate Program— Computer Science, Bina Nusantara University, Jakarta, Indonesia","2022 Second International Conference on Artificial Intelligence and Smart Energy (ICAIS)","30 Mar 2022","2022","","","958","963","People with hearing loss in this world have not received much serious attention from the authorities. This makes these sufferers confused in choosing learning media to interact with and isolated from their social environment. This application was created to help people with hearing loss to be noticed and understood from the way they communicate using sign language through the mobile application called Assistant for the Deaf, which has many features such as registration, interactive videos, sign language translator, forums, customer service, library, information, history, events, donations, and shops. The application is designed using use case diagrams and class diagrams modeling the database, and the implementation used Android Studio and MySQL database.","","978-1-6654-0052-7","10.1109/ICAIS53314.2022.9742988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9742988","Deaf Helper Mobile Application;Hearing Loss Mobile Application;Sign Language Mobile Application","Databases;Customer services;Auditory system;Gesture recognition;Assistive technologies;Media;Libraries","","1","","31","IEEE","30 Mar 2022","","","IEEE","IEEE Conferences"
"Enhancing Digital Content Accessibility for the Hearing Impaired through AI-Driven Visual Representations","M. Hatami; M. Chegini","Faculty of Electrical, Computer, IT, & Biomedical Engineering, Islamic Azad Universuty of Qazvin, Qazvin, Iran; Faculty of Electrical, Computer, IT, & Biomedical Engineering, Islamic Azad Universuty of Qazvin, Qazvin, Iran","2024 10th International Conference on Artificial Intelligence and Robotics (QICAR)","16 Apr 2024","2024","","","322","328","Ensuring inclusivity for individuals with hearing impairments is paramount in an increasingly digital world. This article explores an innovative solution that leverages artificial intelligence (AI) and machine learning to enhance content comprehension for this demographic. We present a system that utilizes deep learning models and natural language processing algorithms to convert spoken language into visual representations, including emojis and images. Our approach empowers the hearing impaired to access and interpret information more effectively by bridging the gap between audio-based content and visual cues. Extensive experiments and user studies confirm the system's effectiveness, significantly improving content understanding and engagement. This novel technology opens new avenues for independent and comprehensive comprehension of audio-based content by individuals with hearing impairments.","","979-8-3503-4887-3","10.1109/QICAR61538.2024.10496621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496621","Natural Language Processing;Deep Learning;Artificial Intelligence;Image Conversion;Voice-to-Emoji","Deep learning;Visualization;Machine learning algorithms;Auditory system;Natural language processing;Iterative methods;Robots","","","","26","IEEE","16 Apr 2024","","","IEEE","IEEE Conferences"
"Hand Gesture Recognition with Augmented Reality and Leap Motion Controller","J. Huo; K. L. Keung; C. K. M. Lee; H. Y. Ng","Laboratory for Artificial Intelligence in Design, New Territories, Hong Kong, China; Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong, China; Laboratory for Artificial Intelligence in Design, New Territories, Hong Kong, China; Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong, China","2021 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","19 Jan 2022","2021","","","1015","1019","The use of hand gestures is one of the commonly used communication approaches in human daily life, especially for the deaf and dumb. Hand gesture recognition can be adopted in human-computer interaction for converting hand gestures into words or sentences. Unfortunately, the same gesture may have diverse meanings in different countries. With the aim of eliminating the communication barriers between hearing-impaired communities and the general people, an efficient interaction user interface created with the augmented reality technique and leap motion controller for hand gesture recognition and translation is proposed in this paper. Five hand gestures captured by a leap motion controller were used for learning and recognizing through machine learning methodologies, including Support Vector Machine, K-Nearest Neighbor, Convolutional Neural Network, Deep Neural Network and Decision Tree. The experimental results from different classifiers reveal the practicability of employing hand gesture recognition in text translation. The hand gesture recognition system should be capable of reducing the communication gap between hearing disabilities and the public so as to avoid deaf and mute people being isolated from society.","","978-1-6654-3771-4","10.1109/IEEM50564.2021.9672611","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672611","Hand gesture recognition;leap motion controller;machine learning","Support vector machines;Machine learning algorithms;Target recognition;Thumb;Gesture recognition;Auditory system;Decision trees","","8","","11","IEEE","19 Jan 2022","","","IEEE","IEEE Conferences"
