ORN,VN,DB,AN,TI,DP,YR,PH,AU,MA,SO,MO,OL,AB,CP,JN,VO,IP,PG,FTURL,XL,PE,OC,CA,PS,URL
49,Ovid Technologies,APA PsycInfo,2009-04156-001,Prevalence of hearing impairment by gender and audiometric configuration: Results from the National Health and Nutrition Examination Survey (1999-2004) and the Keokuk County Rural Health Study (1994-1998). [References].,Oct 2008,2008,,"Ciletti, Lindsay

Flamme, Gregory A","Flamme, Gregory A.: greg.flamme@wmich.edu","Journal of the American Academy of Audiology. Vol.19,(9), 2008, pp. 672-685.",Oct,,"Purpose: This study describes the most common audiometric configurations and the prevalence of these configurations among adults (ages 20 to 69) in the noninstitutionalized population of the United States and in a sample of residents of a rural county in Iowa. Research Design: This was a cross-sectional population-based study. Study Sample: Estimates generalizing to the noninstitutionalized population of the United States were based on National Health and Nutrition Examination Survey (NHANES) data collected from 2819 women and 2525 men between 1999 and 2004. Estimates from the rural county were based on Keokuk County Rural Health Study (KCRHS) data collected from 892 women and 750 men between 1994 and 1998. Data Collection and Analysis: Cluster analyses (k-means) were used to divide participants into groups including maximally similar bilateral air conduction audiograms. Separate cluster analyses were conducted for each gender. For NHANES data, prevalence and error estimates were obtained using sample weights intended to provide data generalizing to the noninstitutionalized population of the United States within this age range. Results: The hierarchical structure of audiometric configurations revealed that approximately 25% of women and 50% of men aged 20 to 69 in the noninstitutionalized population of the United States were best described by a configuration consistent with a marked hearing impairment in at least one frequency. Hearing impairments were more common among participants in the KCRHS. Gently sloping configurations of hearing impairment were dominant among women, while configurations featuring a greater slope were dominant among men. There was a greater variety of audiometric configurations in men than women. Conclusions: In addition to their descriptive value, these data can be used to inform future studies of risk factors and progression of hearing loss, and to improve the generalizability of studies involving rehabilitative options for people with hearing impairment. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",,Journal of the American Academy of Audiology,19,9,672-685,Click here for full text options,SFX,,"Thieme Medical Publishers, Inc., Germany",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc7&DO=10.3766%2fjaaa.19.9.3
50,Ovid Technologies,APA PsycInfo,2008-00143-002,Prevalence of hearing impairment in an adult population in southern Taiwan. [References].,Dec 2007,2007,,"Lin, Cheng-Yu

Yang, Yi-Ching

Guo, Yueliang Leon

Wu, Chih-Hsing

Chang, Chih-Jen

Wu, Jiunn-Liang","Wu, Jiunn-Liang: jiunn@mail.ncku.edu.tw","International Journal of Audiology. Vol.46,(12), 2007, pp. 732-737.",Dec,,"The objective of this study was to estimate the prevalence of hearing impairment in a representative adult population in southern Taiwan and compare the results to those of similar studies in other countries. A stratified systematic cluster sample of 1140 residents, aged >=20 years, of Tainan City was studied from 2001 to 2003. The test battery included otoscopy, pure-tone audiometry, and a questionnaire covering relevant personal, occupational, and family history. The hearing threshold level (HTL) was defined as the better ear pure-tone average (BPTA) (i.e. the average of hearing thresholds at frequencies 500, 1000, 2000, and 4000 Hz). The prevalence of hearing impairment was 21.4% (95% confidence interval: 19.3-23.7%) at BPTA >=25 dB HTL. Middle ear disease was a significant risk factor for hearing impairment in addition to age and gender. The overall prevalence of hearing impairment may be higher in Taiwan (17.1%) than in western populations (11.5%), but differences in the definition of hearing impairment severity and variation in sex distribution among studies may account for this higher prevalence. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,International Journal of Audiology,46,12,732-737,Click here for full text options,SFX,,"Taylor & Francis, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc6&DO=10.1080%2f14992020701448986
51,Ovid Technologies,APA PsycInfo,2004-15693-006,Using Visible Speech to Train Perception and Production of Speech for Individuals With Hearing Loss. [References].,Apr 2004,2004,,"Massaro, Dominic W

Light, Joanna","Massaro, Dominic W.: massaro@fuzzy.ucsc.edu","Journal of Speech, Language, and Hearing Research. Vol.47,(2), 2004, pp. 304-320.",Apr,Journal of Speech & Hearing Research,"The main goal of this study was to implement a computer-animated talking head, Baldi, as a language tutor for speech perception and production for individuals with hearing loss. Baldi can speak slowly; illustrate articulation by making the skin transparent to reveal the tongue, teeth, and palate; and show supplementary articulatory features, such as vibration of the neck to show voicing and turbulent airflow to show frication. Seven students with hearing loss between the ages of 8 and 13 were trained for 6 hours across 21 weeks on 8 categories of segments (4 voiced vs. voiceless distinctions, 3 consonant cluster distinctions, and 1 fricative vs. affricate distinction). Training included practice at the segment and the word level. Perception and production improved for each of the 7 children. Speech production also generalized to new words not included in the training lessons. Finally, speech production deteriorated somewhat after 6 weeks without training, indicating that the training method rather than some other experience was responsible for the improvement that was found. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,"Journal of Speech, Language, and Hearing Research",47,2,304-320,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc5&DO=10.1044%2f1092-4388%25282004%2f025%2529
52,Ovid Technologies,APA PsycInfo,1999-00336-003,Modeling the interaction of phonemic intelligibility and lexical structure in audiovisual word recognition.DP  - Oct 1998,,1998,,"Iverson, Paul

Bernstein, Lynne E

Auer, Edward T Jr.",,"Speech Communication. Vol.26,(1-2), 1998, pp. 45-63.",Oct,,"Studies of audiovisual perception of spoken language have mostly modeled phoneme identification in nonsense syllables, but it is doubtful that models or theories of phonetic processing can adequately account for audiovisual word recognition. The present study took a computational approach to examine how lexical structure may additionally constrain word recognition, given the phonetic information available under vocoded audio, visual, and audiovisual stimulus conditions. Adults with normal hearing (18-45 yrs old) made phonemic identification judgments on recordings of spoken nonsense syllables. Deaf Ss participated in a consonant identification task. Hierarchical cluster analysis was used 1st to select classes of perceptually equivalent phonemes for each of the stimulus conditions, and then a machine-readable phonemically transcribed lexicon was re-transcribed in terms of these phonemic equivalence classes. For each of the transcriptions computations were made of percent information extracted, percent words unique, and expected class size. The findings suggest that superadditive levels of audiovisual enhancement are more likely for monosyllabic than for multisyllabic words. (PsycInfo Database Record (c) 2023 APA, all rights reserved)",,Speech Communication,26,1-2,45-63,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc3&DO=10.1016%2fS0167-6393%252898%252900049-1
53,Ovid Technologies,APA PsycInfo,1996-23685-001,"Dispositional optimism, dysphoria, health, and coping with hearing impairment in elderly adults.DP  - Mar-Apr 1995",,1995,,"Andersson, Gerhard

Melin, Lennart

Lindberg, Per

Scott, Berit",,"Audiology. Vol.34,(2), 1995, pp. 76-84.",Mar-Apr,,"Investigated the psychometric validity of and associations among measures of dispositional optimism, dysphoria, health, and coping in a sample of 68 hearing impaired adults (mean age 69.6 yrs), who were recently supplied with hearing aids. Cluster analysis was also attempted to investigate the presence of coping categories, and the characteristics of these obtained subgroups. Measures included the Hearing Coping Assessment, the Hearing Questions (HQ), the Life Orientation Test, the Beck Depression Inventory, and a subscale from the Goteborg Quality of Life. Psychometric analyses revealed high reliability in terms of Cronbach's alpha and split-half r's. Significant intercorrelations were found between several measures, but not with pure-tone audiometry (.5, 1, 2, and 3 kHz). Three clusters were identified interpreted as (1) high copers, (2) copers with moderate psychological and somatic complaints, and (3) low copers. (French abstract) (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Audiology,34,2,76-84,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc3&DO=10.3109%2f00206099509071900
54,Ovid Technologies,APA PsycInfo,1986-27536-001,Vowel perception: Experiments with a single-electrode cochlear implant.DP  - Jun 1986,,1986,,"Doyle, Karen J

Danhauer, Jeffrey L

Edgerton, Bradly J",,"Journal of Speech & Hearing Research. Vol.29,(2), 1986, pp. 179-192.",Jun,"Journal of Speech, Language, and Hearing Research","15 postlingually deaf adults (aged 19-79 yrs) with histories of unsuccessful hearing aid use and a minimum of 6-22 mo experience with a single-electrode cochlear implant were presented with audiorecordings of 11 natural and loudness-matched vowels. Ss rated the dissimilarity of both the naturally spoken and the loudness-matched vowels and performed identification of the latter. Two normal-hearing Ss served as controls for the dissimilarity tasks. Multidimensional scaling, hierarchical clustering, and percent correct identification analyses were used to help determine the perceptual features used by the Ss in their judgments. Data indicate that, in general, normal-hearing Ss took advantage of 2nd formant frequency information. Cochlear-implant Ss relied primarily on fundamental and 1st formant frequency information and demonstrated difficulty in vowel identification. Appendices include audiometric data and descriptive data for the implant Ss, analog unprocessed waveforms of the stimuli, and averaged dissimilarity ratings of the loudness-matched vowels by the Ss. (23 ref) (PsycInfo Database Record (c) 2023 APA, all rights reserved)",,Journal of Speech & Hearing Research,29,2,179-192,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc2&DO=10.1044%2fjshr.2902.179
55,Ovid Technologies,APA PsycInfo,1979-11190-001,Intonation contour and syntactic structure as predictors of apparent segmentation. [References].,May 1978,1978,,"Geers, Ann E",,"Journal of Experimental Psychology: Human Perception and Performance. Vol.4,(2), 1978, pp. 273-283.",May,,"Segmentation is reflected in the chunking of complex stimuli into cohesive units. In speech this segmentation may be determined by interalized grammatical rules, with boundaries of the units corresponding to major constituent boundaries. On the other hand, this segmentation may also be accomplished by physical characteristics of the speech signal, with the boundaries of the units corresponding to acoustic discontinuities such as changes in vocal pitch, duration, and/or intensity of syllables at the boundary. The present 2 experiments contrasted these 2 types of characteristics to determine their roles in the segmentation of speech. Ss in Exp I were 32 normal-hearing adults; Ss in Exp II were 16 normal-hearing and 16 profoundly deaf adults. Segmentation of spoken sentences appeared to require both prosodic and syntactic cues. The tendency for the perception of interrupting stimuli to cluster was considerably greater at boundaries that were marked by both syntactic and prosodic cues than at those marked by intonation or syntax alone. Although prosodic structure must reinforce syntactic structure to produce maximum segmental effects, it was not essential that these prosodic cues be auditory. Ss with normal hearing appeared to require some auditory cue to intonation boundaries to achieve significant perceptual migration of interrupting stimuli, but deaf Ss were able to use, through vision, durational correlates of the melodic pattern to segment the speech signal. (23 ref) (PsycInfo Database Record (c) 2023 APA, all rights reserved)","HOLDER: American Psychological Association
YEAR: 1978",Journal of Experimental Psychology: Human Perception and Performance,4,2,273-283,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc2&DO=10.1037%2f0096-1523.4.2.273
56,Ovid Technologies,APA PsycInfo,1984-23609-001,The oral speech intelligibility of hearing-impaired talkers.DP  - Aug 1983,,1983,,"Monsen, Randall B",,"Journal of Speech & Hearing Disorders. Vol.48,(3), 1983, pp. 286-296.",Aug,,"Recordings were made of 10 hearing-impaired adolescents (aged 11 yrs 7 mo to 15 yrs 3 mo) speaking sentences of systematically different phonologic and syntactic structure. Tapes containing these sentences were played to 19 experienced and 25 inexperienced listeners in different conditions: in the absence vs the presence of a verbal context; by auditory vs audiovisual presentation; and with 1 vs 2 presentations of each sentence token. The responses of the listeners were scored and averaged for each S, condition, and type of sentence. Significant differences were observed between (1) simple sentences and those complicated either by consonant clusters, polysyllabic words, or complex syntax; (2) experienced and inexperienced listeners; (3) sentences in and out of context; and (4) sentences heard and seen as opposed to merely heard. The results are discussed with reference to measurement of the intelligibility of the speech of hearing-impaired individuals. (15 ref) (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Journal of Speech & Hearing Disorders,48,3,286-296,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc2&DO=10.1044%2fjshd.4803.286
57,Ovid Technologies,APA PsycInfo,1981-10732-001,Consonant similarity judgments by normal and hearing-impaired listeners.DP  - Mar 1980,,1980,,"Walden, Brian E

Montgomery, Allen A

Prosek, Robert A

Schwartz, Daniel M",,"Journal of Speech & Hearing Research. Vol.23,(1), 1980, pp. 162-184.",Mar,"Journal of Speech, Language, and Hearing Research","Attempted to identify listener strategies or perceptual modes that might be adopted by hearing-impaired listeners when making similarity judgments among pairs of speech sounds. An attempt was also made to describe the relationship between similarity judgments and auditory confusions for such listeners. 15 21-45 yr old Ss (5 normal hearing, 5 with bilateral acquired hearing loss, and 5 with congenital hearing loss) provided similarity ratings and recognition responses to consonant pairs. Resulting similarity judgments were organized into a variety of similarity matrices and analyzed, using multidimensional scaling, hierarchical clustering, and traditional descriptive and interpretative statistics. The analyses of the similarity ratings between consonants showed that hearing-impaired Ss applied phonemic labels to the stimuli and based their ratings on these labels rather than on the unlabeled acoustic characteristics of the speech sounds. Analysis of the recognition data indicated that those consonants that were most confused were not necessarily the most conceptually similar to the listener. (36 ref) (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Journal of Speech & Hearing Research,23,1,162-184,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc2&DO=10.1044%2fjshr.2301.162
58,Ovid Technologies,APA PsycInfo,1975-03482-001,A spondee recognition test for young hearing-impaired children.DP  - Aug 1974,,1974,,"Cramer, Kathryn D

Eber, Norman P",,"Journal of Speech & Hearing Disorders. Vol.39,(3), 1974, pp. 304-311.",Aug,,"10 spondaic words recorded on Language Master cards were presented monaurally through insert receivers to 58 5-9 yr old hearing-impaired children to evaluate their ability to recognize familiar speech material. Ss were tested individually until their performance stabilized-which required from 4 to 10 sessions. They indicated their responses by pointing to labeled picture cards. Spondee recognition scores were bimodally distributed, with clusters of scores of 0-65% and 66-100%, respectively. In general, pure-tone averages better than 93 db HTL (hearing-threshold level) were associated with spondee scores from 66 to 100%, while pure-tone averages poorer than 103 db HTL corresponded to spondee scores from 0 to 65%. No close relation between pure-tone thresholds and spondee recognition scores was found for average hearing levels between 93 and 103 db. Recognition scores varied as a function of repeated testing in 3 general ways: stable performance, steadily improving performance, or inconsistent performance. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Journal of Speech & Hearing Disorders,39,3,304-311,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc2&DO=10.1044%2fjshd.3903.304
